id;name;object;capital;capital_currency;capital_share;capital_share_perc;source;source_link;source_date;parent
382;DB Schenker Rail Aktiengesellschaft, Mainz ;Erbringen, Vermarkten und Koordinieren von Verkehrsleistunge n, insbes. Eisenbahn- und Straßenverkehrsle istungen ;256.001.000;EUR;256.001.000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Arriva Danmark A/S, Kastrup 
383;DB Schenker Rail Automotive GmbH, Kelsterbach ;Durchführung von Gesamttransport- und Service- leistungen ein- schließlich Logistik auf dem Gebiet der schienengebun- denen Automobil- beförderung innerhalb Europas ;255.65;EUR;255.65;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Arriva Danmark A/S, Kastrup 
384;DB Schenker Rail Danmark Services A/S, Taastrup/Dänemark ;Vertriebsaktivit- äten im Schienen- güterverkehr ;500.007;DKK;500.007;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Regio Aktiengesellschaft, Frankfurt/Main 
385;DB Schenker Rail Deutschland Aktiengesellschaft, Mainz ;Führen von Betrieben verwandter Unternehmen ;50;EUR;50;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Regio Aktiengesellschaft, Frankfurt am Main 
386;DB Schenker Rail Hungaria Kft., Györ/Ungarn ;Frachtumschlag, Lagerhaltung, sonstige Hilfs- und Nebentätigkeiten für den Landverkehr ;25.000.000;HUF;25.000.000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Bundesanstalt für vereinigungsbe- dingte Son- deraufgaben 
387;DB Schenker Rail Italia S.r.I., Novate Milanese/Mailand ;Betrieb und Verwaltung von Eisenbahnfahr- zeugen zur Traktion von Güterverkehr und Personenverkehr ;100;EUR;100;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;Bundesanstalt für vereinigungsbe- dingte Son- deraufgaben 
388;DB Schenker Rail Nederland N.V., Utrecht/Niederlande ;Gütertransport einschl. Transport- und Logistikservice ;7.000.455;EUR;7.000.455;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Hungaria Holding Kft., Budapest 
389;DB Schenker Rail Polska S.A., Zabrze/Polen ;Schienen- güterverkehr ;18.508.139;PLN;18.508.139;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Mobility Logistics AG, Berlin 
390;DB Schenker Rail Romania S.R.L., Timisoara/Rumänien ;Transport im Be- reich des schie- nengebundenen Verkehrs ;29.996.600;RON;29.996.600;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB (UK) Investments Limited, Sunderland 
391;DB Schenker Rail Scandinavia A/S, Taastrup/Dänemark ;Betreiben von Schienengüter- verkehr in Dänemark und über die gesamte Öresundbrücke zwischen Schweden und Deutschland ;42.050.000;DKK;21.445.500;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;2014-12-31;DB Netz Aktiengesellschaft, Frankfurt/Main 
