id;name;capital;capital_currency;capital_share;capital_share_perc;source;source_link;source_date;children;parents;parent;type
250;Arriva North East Limited, Sunderland/ Großbritannien ;6500000;GBP;6500000;702,906;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Deutsche Bahn Iberica Holding S.L., Barcelona ;Holding- gesellschaft
251;Arriva North West Limited, Sunderland/ Großbritannien ;1590910;GBP;1590910;511,702;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;DB Regio Aktiengesellschaft, Frankfurt/Main ;Personenverkehr
252;Arriva Northumbria Limited, Sunderland/ Großbritannien ;3000000;GBP;3000000;333,333;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Weser-Ems Busverkehr GmbH (WEB), Bremen ;Personenverkehr
253;Arriva Nove Zamky, a.s., Nove,  Zamky/ Slowakei ;8861312;EUR;5348688;51100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Schenker (Asia Pacific) Pte. Ltd., Singapur ;Öffentlicher Straßenpersonen- verkehr
254;Arriva Openbaar Vervoer NV, Heerenveen ;100;EUR;100;;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;ARRIVA INVESTIMENTOS SGPS,SA, Almada ;Personenverkehr
255;Arriva Passenger Services Limited, Sunderland/ Großbritannien ;169621674;GBP;169621674;;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;DB Mobility Logistics AG, Berlin ;Dienstleistungs- gesellschaft
256;Arriva Personenvervoer Nederland BV, Heerenveen/ Niederlande ;100;EUR;100;;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;SADEM-SOCIETA PER AZIONI, Torino ;Personenverkehr
257;Arriva Plc, Sunderland/ Großbritannien ;10219545;GBP;10219545;;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;TFG Transfracht Internationale Gesellschaft für Güterverkehr mbH, Frankfurt ;Holding- gesellschaft
258;Arriva Polen Holding B.V., Heerenveen/ Niederlande ;162;EUR;162;10051;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;DB Schenker Rail Nederland N. V., Utrecht ;Personenverkehr sowie Transport & Logistik
259;Arriva Polska Sp. z o.o., Warszawa/Polen ;4500000;PLN;4500000;4940;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Schenker Mauritius (Malaysian Holdings) Ltd., Port Louis ;Öffentlicher Personenverkehr
261;Arriva Praha s.r.o., Prag/Tschechien ;140200000;CZK;140200000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;Broadwood Finance Company Limited, Sunderland ;Personenverkehr
262;Arriva RP Sp. z o.o., Warszawa/Polen ;10000000;PLN;10000000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;The Tower Company GmbH, Langen ;Öffentlicher Personenverkehr
263;Arriva Scotland West Limited, Inchinnan/ Großbritannien ;2000000;GBP;2000000;100;Beteiligungsbericht des Bundes 2015;https://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Bundesvermoegen/Privatisierungs_und_Beteiligungspolitik/Beteiligungspolitik/Beteiligungsberichte/beteiligungsbericht-des-bundes-2015.pdf?__blob=publicationFile&v=6;31.12.2014;;;DB Fernverkehr Aktiengesellschaft, Frankfurt/Main ;Personenverkehr
