62,Arriva Malta Holdings,Mantelgesellschaft,551.002.500490.,1,"0,00000",Arriva Finance
,"Limited,",,366.731,,"0299,99","Holding BV,"
,SunderlandValletta/,,,,999980,Heerenveen
,Malta,,,551.002.499490.,,Arriva Zuid Europa
,,,,366.730,,"Holding BV,"
,,,,,100,Heerenveen
,,,,,,
63,"Arriva Malta Limited,",Busgesellschaft,20.009.000,20.008.999,"99,9999",Arriva Malta
,Qormi,,,,,"Holdings Limited,"
,,,,,,Valletta
,,,,1,"0,0001",Arriva Zuid Europa
,,,,,,"Holding BV,"
,,,,,,Heerenveen
,,,,,,
64,Arriva Merseyside,Personenverkehr,19.134.000,19.134.000,100,Arriva (2007)
,"Limited, Sunderland/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
65,"Arriva Michalovce, a.s.,",Öffentlicher,6.637.378,3.991.719,"60,14","Arriva Hungary Zrt.,"
,Michalovce/Slowakei,Straßenpersonen-,,,,Budapest
,,verkehr,,,,
,,,,,,
66,"Arriva Middle East FZE,",Holding-,1.000.000 AED,1.000.000 AED,100,DB Mobility Logistics
,Dubai/VAE,gesellschaft,,,,"AG, Berlin"
,,,,,,
67,Arriva Midlands,Personenverkehr,94.400,94.400,100,Arriva (2007)
,"Limited, Sunderland/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
68,Arriva Midlands North,Personenverkehr,4.167.176,4.167.176,100,Arriva (2007)
,"Limited, Sunderland/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
69,"Arriva Morava a.s.,",,616.013.000,616.013.000,100,Arriva Transport
,Ostrava/Tschechien,,CZK,CZK,,Ceska Republika
,,,,,,"a.s., Prag"
,,,,,,
70,Arriva Motor Holdings,Mantelgesellschaft,120.000.000,120.000.000,100,"Arriva Plc,"
,"Limited, Sunderland/",,GBP,GBP,,Sunderland
,Großbritannien,,,,,
,,,,,,
71,"Arriva Multimodaal BV,",Dienstleistungsge,90.000,90.000,100,Arriva
,Heerenveen/,sellschaft,,,,Personenvervoer
,Niederlande,,,,,"Nederland BV,"
,,,,,,Heerenveen
,,,,,,
72,"Arriva Nitra a.s.,",,11.449.352,6.924.568,"60,48",Arriva Transport
,Nitra/Slowakei,,,,,"Services s.r.o., Nitra"
,,,,,,
73,"Arriva Noroeste s.l.,",Personenverkehr,21.038.440,21.038.440,100,Arriva International
,Ferrol/Spanien,,,,,"Limited,"
,,,,,,SunderlandARRIVA
,,,,,,"SPAIN HOLDING,"
,,,,,,"S.L., Madrid"
,,,,,,
74,Arriva North East,Holding-,6.500.000,6.500.000,100,Arriva (2007)
,"Limited, Sunderland/",gesellschaft,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
75,Arriva North West,Personenverkehr,1.590.910,1.590.910,100,Arriva (2007)
,"Limited, Sunderland/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
76,Arriva Northumbria,Personenverkehr,3.000.000,3.000.000,100,Arriva (2007)
,"Limited, Sunderland/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
77,"Arriva Nove Zamky,",Öffentlicher,8.861.312,5.348.688,"60,36","Arriva Hungary Zrt.,"
,"a.s., Nove,  Zamky/",Straßenpersonen-,,,,Budapest
,Slowakei,verkehr,,,,
,,,,,,
78,Arriva Openbaar,Personenverkehr,100.000,100.000,100,Arriva
,"Vervoer NV,",,,,,Personenvervoer
,Heerenveen,,,,,"Nederland BV,"
,,,,,,Heerenveen
,,,,,,
79,Arriva Passenger,Dienstleistungs-,169.621.674,169.621.674,100,"Arriva Plc,"
,"Services Limited,",gesellschaft,GBP,GBP,,Sunderland
,Sunderland/,,,,,
,Großbritannien,,,,,
,,,,,,
80,Arriva Personenvervoer,Personenverkehr,100.000,100.000,100,Arriva Coöperatie
,"Nederland BV,",,,,,"W.A., Heerenveen"
,Heerenveen/,,,,,
,Niederlande,,,,,
,,,,,,
81,"Arriva Plc, Sunderland/",Holding-,10.219.545,10.219.545,100,DB UK Holding
,Großbritannien,gesellschaft,GBP,GBP,,"Limited,"
,,,,,,DoncasterDB (UK)
,,,,,,"Investments Limited,"
,,,,,,Sunderland
82,Arriva Polen Holding,Personenverkehr,162.000,162.000,100,Arriva Coöperatie
,"B.V., Heerenveen/",sowie Transport &,,,,"W.A., Heerenveen"
,Niederlande,Logistik,,,,
,,,,,,
83,Arriva Polska Sp. z,Öffentlicher,4.500.000,4.500.000,100,Arriva Polen Holding
,"o.o., Warszawa/Polen",Personenverkehr,PLN,PLN,,"B.V., Heerenveen"
,,,,,,
84,ARRIVA PORTUGAL-,Personenverkehr,100.400,402,"0,4",Arriva International
,"TRANSPORTES LDA,",,,,,"Limited, Sunderland"
,Guimaraes/Portugal,,,,,ARRIVA
,,,,99.998,"99,6",INVESTIMENTOS
,,,,,,"SGPS,SA, Almada"
,,,,,,
85,"Arriva Praha s.r.o.,",Personenverkehr,140.200.000,140.200.000,100,Arriva Transport
,Prag/Tschechien,,CZK,CZK,,Ceska Republika
,,,,,,"a.s., Prag"
,,,,,,
86,"Arriva RP Sp. z o.o.,",Öffentlicher,10.000.000,10.000.000,100,Arriva International
,Warszawa/Polen,Personenverkehr,PLN,PLN,,"(2) Limited,"
,,,,,,SunderlandDB
,,,,,,Polska Holding Sp. Z
,,,,,,"o.o., Zabrze"
,,,,,,
87,Arriva Scotland West,Personenverkehr,2.000.000,2.000.000,100,Arriva (2007)
,"Limited, Inchinnan/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
88,"Arriva Scotrail Limited,",Mantelgesellschaft,10.000.000 GBP,10.000.000,100,Arriva UK Trains
,Sunderland/,,,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
89,"Arriva Services a.s.,",Personenverkehr,10.000.000 CZK,10.000.000,100,DB Czech Holding
,Kraluv Dvur/Tschechien,,,CZK,,"s.r.o., Rudna"
,,,,,,
90,Arriva Southend,Personenverkehr,1.854.000,1.854.000,100,Arriva (2007)
,"Limited, Sunderland/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
91,Arriva Southern,Holding-,110.196,110.196,100,Arriva (2007)
,"Counties Limited,",gesellschaft,GBP,GBP,,"Limited, Sunderland"
,Sunderland/,,,,,
,Großbritannien,,,,,
,,,,,,
92,"Arriva Spolka z o.o.,",Personenverkehr,157.583.750,156.906.140179.,"99,5799",Arriva Bus Transport
,Tourun/Polen,,PLN,189.791,",75","Polska Sp. z o.o.,"
,,,,PLN,,Warschau
,,,,,,
93,"Arriva Stajerska,",,2.051.765,1.557.290,"75,9",Arriva Europe GmbH
,druzba za prevoz,,,,,
,"potnikov, d.d.,",,,,,
,Maribor/Slowenien,,,,,
,,,,,,
94,"Arriva Sverige AB,",Busgesellschaft-,10.000.000,10.000.000,100,Schenker
,Stockholm/Schweden,Personenverkehr,SEK,SEK,,"International AB,"
,,,,,,Göteborg
,,,,,,
95,"Arriva Techniek BV,",Personenverkehr,75.000,75.000,100,Arriva
,Heerenveen/,,,,,Personenvervoer
,Niederlande,,,,,"Nederland BV,"
,,,,,,Heerenveen
,,,,,,
96,Arriva Tees & District,Personenverkehr,1.000.000,1.000.000,100,Arriva (2007)
,"Limited, Sunderland/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
97,"Arriva Teplice s.r.o.,",Öffentlicher,4.500.000 CZK,4.500.000 CZK,100,Arriva Transport
,Teplice/Tschechien,Personenverkehr,,,,Ceska Republika
,,,,,,"a.s., Prag"
,,,,,,
98,Arriva the Shires,Personenverkehr,728.308,728.308,100,Arriva (2007)
,"Limited, Sunderland/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
99,"Arriva Tog A/S,",Schienen-,102.000.000,102.000.000,100,"Arriva Danmark A/S,"
,Kastrup/Dänemark,personenverkehr,DKK,DKK,,Kastrup
,,,,,,
100,"Arriva Touring BV,",Transport &,75.000,75.000,100,Arriva
,Heerenveen/,Logistik,,,,Personenvervoer
,Niederlande,,,,,"Nederland BV,"
,,,,,,Heerenveen
,,,,,,
101,Arriva Trains (Poland),Holding-,10.000.000,10.000.000,100,Arriva International
,"Limited, Sunderland/",gesellschaft,,,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
102,Arriva Trains,Schienen-,2.250.001,2.250.001,100,Arriva UK Trains
,"Merseyside Limited,",personenverkehr,GBP,GBP,,"Limited, Sunderland"
,Sunderland/,,,,,
,Großbritannien,,,,,
,,,,,,
103,Arriva Trains Northern,Schienen-,8.000.001,8.000.001,100,Arriva UK Trains
,"Limited, Sunderland/",personenverkehr,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
104,Arriva Trains Wales,Schienen-,5.000.000,5.000.000,100,Arriva UK Trains
,Limited/Trenau Arriva,personenverkehr,GBP,GBP,,"Limited, Sunderland"
,"Cymru Limited,",,,,,
,Sunderland/,,,,,
,Großbritannien,,,,,
,,,,,,
105,Arriva Transpennine,,10.000.000 GBP,10.000.000 GBP,100,Arriva UK Trains
,"Limited, Sunderland/",,,,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
106,Arriva Transport Ceska,Holding-,1.568.500.000,1.568.500.000,100,Arriva Europe
,"Republika a.s.,",gesellschaft,CZK,CZK,,"GmbH, Berlin"
,Prag/Tschechien,,,,,
,,,,,,
107,ARRIVA,Personenverkehr,100.000,100.000,100,ARRIVA
,TRANSPORTES DA,mit Autos,,,,INVESTIMENTOS
,"MARGEM SUL,SA,",,,,,"SGPS,SA, Almada"
,Almada/Portugal,,,,,
,,,,,,
108,Arriva UK Trains,Schienen-,25.000.000003,25.000.000003,100,MTL Services
,"Limited, Sunderland/",personenverkehr,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
109,Arriva Vychodni Cechy,Straßen-,89.121.000 CZK,89.121.000,100,Arriva Transport
,"a.s.,",personenverkehr,,CZK,,Ceska Republika
,Chrudim/Tschechien,,,,,"a.s., Prag"
,,,,,,
110,"Arriva Wadden BV,",Personenverkehr,90.600,90.600,100,Arriva
,Heerenveen,,,,,Personenvervoer
,,,,,,"Nederland BV,"
,,,,,,Heerenveen
111,Arriva Waterland,Personenverkehr,90.000,90.000,100,Arriva
,"Rivierenland BV,",,,,,Personenvervoer
,Heerenveen,,,,,"Nederland BV,"
,,,,,,Heerenveen
,,,,,,
112,Arriva West Sussex,Personenverkehr,50.002,50.002,100,Arriva (2007)
,"Limited, Sunderland/",,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
113,"Arriva Yorkshire Ltd,",Personenverkehr,1.429.678,1.429.678,100,Arriva (2007)
,Sunderland/,,GBP,GBP,,"Limited, Sunderland"
,Großbritannien,,,,,
,,,,,,
114,Arriva Zuid Europa,Personenverkehr,90.000,78.158,"86,8421",Arriva Coöperatie
,"Holding BV,",sowie Transport &,,,,"W.A., Heerenveen"
